group1,group2,meandiff,p-adj,lower,upper,reject
decision_treeadasyn,decision_treeoversampling,0.0231,1.0,-0.1269,0.1731,False
decision_treeadasyn,decision_treesmote,0.0591,0.9897,-0.0908,0.2091,False
decision_treeadasyn,decision_treeumce,0.1059,0.495,-0.0441,0.2559,False
decision_treeadasyn,decision_treeundersampling,0.066,0.9722,-0.084,0.216,False
decision_treeadasyn,naive_bayesadasyn,-0.1061,0.4929,-0.256,0.0439,False
decision_treeadasyn,naive_bayesoversampling,-0.1094,0.4374,-0.2594,0.0405,False
decision_treeadasyn,naive_bayessmote,-0.0701,0.9546,-0.22,0.0799,False
decision_treeadasyn,naive_bayesumce,0.0,1.0,-0.15,0.15,False
decision_treeadasyn,naive_bayesundersampling,-0.0629,0.9819,-0.2129,0.0871,False
decision_treeadasyn,random_forestadasyn,0.0235,1.0,-0.1264,0.1735,False
decision_treeadasyn,random_forestoversampling,0.027,1.0,-0.123,0.177,False
decision_treeadasyn,random_forestsmote,0.0866,0.8019,-0.0634,0.2366,False
decision_treeadasyn,random_forestumce,0.1225,0.2512,-0.0275,0.2725,False
decision_treeadasyn,random_forestundersampling,0.115,0.3513,-0.035,0.265,False
decision_treeoversampling,decision_treesmote,0.036,1.0,-0.114,0.186,False
decision_treeoversampling,decision_treeumce,0.0828,0.8493,-0.0672,0.2328,False
decision_treeoversampling,decision_treeundersampling,0.0429,0.9997,-0.1071,0.1929,False
decision_treeoversampling,naive_bayesadasyn,-0.1292,0.1784,-0.2792,0.0208,False
decision_treeoversampling,naive_bayesoversampling,-0.1326,0.1482,-0.2826,0.0174,False
decision_treeoversampling,naive_bayessmote,-0.0932,0.7064,-0.2432,0.0568,False
decision_treeoversampling,naive_bayesumce,-0.0231,1.0,-0.1731,0.1269,False
decision_treeoversampling,naive_bayesundersampling,-0.086,0.8098,-0.236,0.064,False
decision_treeoversampling,random_forestadasyn,0.0004,1.0,-0.1496,0.1504,False
decision_treeoversampling,random_forestoversampling,0.0039,1.0,-0.1461,0.1538,False
decision_treeoversampling,random_forestsmote,0.0635,0.9802,-0.0865,0.2135,False
decision_treeoversampling,random_forestumce,0.0993,0.6062,-0.0507,0.2493,False
decision_treeoversampling,random_forestundersampling,0.0919,0.7266,-0.0581,0.2419,False
decision_treesmote,decision_treeumce,0.0468,0.9991,-0.1032,0.1968,False
decision_treesmote,decision_treeundersampling,0.0069,1.0,-0.1431,0.1569,False
decision_treesmote,naive_bayesadasyn,-0.1652,0.0165,-0.3152,-0.0152,True
decision_treesmote,naive_bayesoversampling,-0.1686,0.0126,-0.3186,-0.0186,True
decision_treesmote,naive_bayessmote,-0.1292,0.1784,-0.2792,0.0208,False
decision_treesmote,naive_bayesumce,-0.0591,0.9898,-0.2091,0.0909,False
decision_treesmote,naive_bayesundersampling,-0.122,0.2566,-0.272,0.028,False
decision_treesmote,random_forestadasyn,-0.0356,1.0,-0.1856,0.1144,False
decision_treesmote,random_forestoversampling,-0.0321,1.0,-0.1821,0.1178,False
decision_treesmote,random_forestsmote,0.0275,1.0,-0.1225,0.1775,False
decision_treesmote,random_forestumce,0.0633,0.9807,-0.0867,0.2133,False
decision_treesmote,random_forestundersampling,0.0559,0.9941,-0.0941,0.2059,False
decision_treeumce,decision_treeundersampling,-0.0399,0.9998,-0.1899,0.1101,False
decision_treeumce,naive_bayesadasyn,-0.212,0.0003,-0.362,-0.062,True
decision_treeumce,naive_bayesoversampling,-0.2154,0.0002,-0.3654,-0.0654,True
decision_treeumce,naive_bayessmote,-0.176,0.0069,-0.326,-0.026,True
decision_treeumce,naive_bayesumce,-0.1059,0.4953,-0.2559,0.0441,False
decision_treeumce,naive_bayesundersampling,-0.1688,0.0124,-0.3188,-0.0188,True
decision_treeumce,random_forestadasyn,-0.0824,0.854,-0.2324,0.0676,False
decision_treeumce,random_forestoversampling,-0.0789,0.8898,-0.2289,0.071,False
decision_treeumce,random_forestsmote,-0.0193,1.0,-0.1693,0.1307,False
decision_treeumce,random_forestumce,0.0165,1.0,-0.1335,0.1665,False
decision_treeumce,random_forestundersampling,0.0091,1.0,-0.1409,0.1591,False
decision_treeundersampling,naive_bayesadasyn,-0.1721,0.0095,-0.3221,-0.0221,True
decision_treeundersampling,naive_bayesoversampling,-0.1755,0.0072,-0.3255,-0.0255,True
decision_treeundersampling,naive_bayessmote,-0.1361,0.1212,-0.2861,0.0139,False
decision_treeundersampling,naive_bayesumce,-0.066,0.9723,-0.216,0.084,False
decision_treeundersampling,naive_bayesundersampling,-0.1289,0.1811,-0.2789,0.0211,False
decision_treeundersampling,random_forestadasyn,-0.0425,0.9997,-0.1925,0.1075,False
decision_treeundersampling,random_forestoversampling,-0.039,0.9999,-0.189,0.1109,False
decision_treeundersampling,random_forestsmote,0.0206,1.0,-0.1294,0.1706,False
decision_treeundersampling,random_forestumce,0.0564,0.9935,-0.0935,0.2064,False
decision_treeundersampling,random_forestundersampling,0.049,0.9985,-0.101,0.199,False
naive_bayesadasyn,naive_bayesoversampling,-0.0034,1.0,-0.1534,0.1466,False
naive_bayesadasyn,naive_bayessmote,0.036,1.0,-0.114,0.186,False
naive_bayesadasyn,naive_bayesumce,0.1061,0.4926,-0.0439,0.2561,False
naive_bayesadasyn,naive_bayesundersampling,0.0432,0.9996,-0.1068,0.1932,False
naive_bayesadasyn,random_forestadasyn,0.1296,0.1745,-0.0204,0.2796,False
naive_bayesadasyn,random_forestoversampling,0.133,0.1443,-0.0169,0.283,False
naive_bayesadasyn,random_forestsmote,0.1927,0.0016,0.0427,0.3427,True
naive_bayesadasyn,random_forestumce,0.2285,0.0,0.0785,0.3785,True
naive_bayesadasyn,random_forestundersampling,0.2211,0.0001,0.0711,0.3711,True
naive_bayesoversampling,naive_bayessmote,0.0394,0.9999,-0.1106,0.1894,False
naive_bayesoversampling,naive_bayesumce,0.1095,0.4371,-0.0405,0.2594,False
naive_bayesoversampling,naive_bayesundersampling,0.0466,0.9991,-0.1034,0.1965,False
naive_bayesoversampling,random_forestadasyn,0.133,0.1448,-0.017,0.283,False
naive_bayesoversampling,random_forestoversampling,0.1364,0.1187,-0.0136,0.2864,False
naive_bayesoversampling,random_forestsmote,0.1961,0.0012,0.0461,0.3461,True
naive_bayesoversampling,random_forestumce,0.2319,0.0,0.0819,0.3819,True
naive_bayesoversampling,random_forestundersampling,0.2245,0.0001,0.0745,0.3744,True
naive_bayessmote,naive_bayesumce,0.0701,0.9545,-0.0799,0.2201,False
naive_bayessmote,naive_bayesundersampling,0.0072,1.0,-0.1428,0.1572,False
naive_bayessmote,random_forestadasyn,0.0936,0.7,-0.0564,0.2436,False
naive_bayessmote,random_forestoversampling,0.097,0.6443,-0.0529,0.247,False
naive_bayessmote,random_forestsmote,0.1567,0.0312,0.0067,0.3067,True
naive_bayessmote,random_forestumce,0.1925,0.0016,0.0425,0.3425,True
naive_bayessmote,random_forestundersampling,0.1851,0.0032,0.0351,0.3351,True
naive_bayesumce,naive_bayesundersampling,-0.0629,0.9818,-0.2129,0.0871,False
naive_bayesumce,random_forestadasyn,0.0235,1.0,-0.1265,0.1735,False
naive_bayesumce,random_forestoversampling,0.027,1.0,-0.123,0.177,False
naive_bayesumce,random_forestsmote,0.0866,0.8021,-0.0634,0.2366,False
naive_bayesumce,random_forestumce,0.1224,0.2515,-0.0275,0.2724,False
naive_bayesumce,random_forestundersampling,0.115,0.3515,-0.035,0.265,False
naive_bayesundersampling,random_forestadasyn,0.0864,0.8044,-0.0635,0.2364,False
naive_bayesundersampling,random_forestoversampling,0.0899,0.7566,-0.0601,0.2399,False
naive_bayesundersampling,random_forestsmote,0.1495,0.0516,-0.0005,0.2995,False
naive_bayesundersampling,random_forestumce,0.1854,0.0031,0.0354,0.3353,True
naive_bayesundersampling,random_forestundersampling,0.1779,0.0059,0.0279,0.3279,True
random_forestadasyn,random_forestoversampling,0.0034,1.0,-0.1465,0.1534,False
random_forestadasyn,random_forestsmote,0.0631,0.9814,-0.0869,0.2131,False
random_forestadasyn,random_forestumce,0.0989,0.6131,-0.0511,0.2489,False
random_forestadasyn,random_forestundersampling,0.0915,0.7329,-0.0585,0.2415,False
random_forestoversampling,random_forestsmote,0.0596,0.9889,-0.0903,0.2096,False
random_forestoversampling,random_forestumce,0.0955,0.67,-0.0545,0.2455,False
random_forestoversampling,random_forestundersampling,0.088,0.7829,-0.062,0.238,False
random_forestsmote,random_forestumce,0.0358,1.0,-0.1142,0.1858,False
random_forestsmote,random_forestundersampling,0.0284,1.0,-0.1216,0.1784,False
random_forestumce,random_forestundersampling,-0.0074,1.0,-0.1574,0.1425,False
